date,type,category,index
2023-12-01,output,wheat_breadmaking,139.3222660499618
2023-12-01,output,wheat_other_milling,120.63725588955181
2023-12-01,output,barley,143.28425445061254
2023-12-01,output,barley_feeding,125.39450231259404
2023-12-01,output,barley_malting,168.16621466351742
2023-12-01,output,oats,166.019326118967
2023-12-01,output,oats_milling,168.28624058247513
2023-12-01,output,oats_feeding,140.2069027708734
2023-12-01,output,potatoes,199.53893411217592
2023-12-01,output,industrial_crops,112.64391342415959
2023-12-01,output,oilseed_rape_non_set_aside,106.57264096223706
2023-12-01,output,sugar_beet,131.412837039082
2023-12-01,output,forage_plants,99.2195283958818
2023-12-01,output,straw,99.2195283958818
2023-12-01,output,fresh_vegetables,133.93981744031214
2023-12-01,output,cauliflowers,291.55130730167724
2023-12-01,output,cabbages,127.90530170821722
2023-12-01,output,lettuce,114.99946847509466
2023-12-01,output,carrots,106.99466985075728
2023-12-01,output,onions,150.17420767526522
2023-12-01,output,mushrooms,109.52432359748343
2023-12-01,output,fresh_fruit,103.38176990741775
2023-12-01,output,dessert_apples,114.3608387742536
2023-12-01,output,cooking_apples,88.18453788145052
2023-12-01,output,dessert_pears,123.29505486227941
2023-12-01,output,strawberries,157.98686782020445
2023-12-01,output,flowers_and_plants,110.5460833623255
2023-12-01,output,other_crop_products,99.99999999644285
2023-12-01,output,animals_and_animal_products,131.73074665536026
2023-12-01,output,animals_for_slaughter_export,128.40549747538847
2023-12-01,output,cattle_and_calves,138.58930771147996
2023-12-01,output,cattle_clean,141.43128176992565
2023-12-01,output,cows_and_bulls,127.7574938362408
2023-12-01,output,calves,94.90475748336084
2023-12-01,output,pigs,134.05271061863846
2023-12-01,output,pigs_clean,133.3949309433321
2023-12-01,output,sows_and_boars,169.46974058586974
2023-12-01,output,sheep_and_lambs,122.83557512420487
2023-12-01,output,sheep_and_lambs_clean,123.34900967254055
2023-12-01,output,ewes_and_rams,116.5269707230675
2023-12-01,output,all_poultry,118.84592926755828
2023-12-01,output,chickens,121.92760483680092
2023-12-01,output,turkeys,100
2023-12-01,output,animal_products,136.9646388882759
2023-12-01,output,milk,132.28170759433027
2023-12-01,output,eggs,168.24015544766183
